npc_id,npc_symbol,action,variant,sequence_id,sequence_symbol,spotanim_id,spotanim_symbol,placement,confidence,source,evidence
689,guild_towerarcher2,attack,Steel arrow,426,human_bow,11,steel_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
690,guild_towerarcher3,attack,Mithril arrow,426,human_bow,21,mithril_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
690,guild_towerarcher3,attack,Mithril arrow,426,human_bow,12,mithril_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
691,guild_towerarcher4,attack,Adamant arrow,426,human_bow,22,adamant_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
691,guild_towerarcher4,attack,Adamant arrow,426,human_bow,13,adamant_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1073,death_archer1,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1073,death_archer1,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1074,death_archer2,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1074,death_archer2,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1075,death_archer_trapped,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1075,death_archer_trapped,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_death/configs/quest_death.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1130,troll_thrower1,attack,Troll rock,1142,troll_rock_throw,275,troll_rock_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1130,troll_thrower1,attack,Troll rock,1142,troll_rock_throw,276,troll_rock_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1131,troll_thrower2,attack,Troll rock,1142,troll_rock_throw,275,troll_rock_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1131,troll_thrower2,attack,Troll rock,1142,troll_rock_throw,276,troll_rock_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1132,troll_thrower3,attack,Troll rock,1142,troll_rock_throw,275,troll_rock_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1132,troll_thrower3,attack,Troll rock,1142,troll_rock_throw,276,troll_rock_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1133,troll_thrower4,attack,Troll rock,1142,troll_rock_throw,275,troll_rock_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1133,troll_thrower4,attack,Troll rock,1142,troll_rock_throw,276,troll_rock_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1134,troll_thrower5,attack,Troll rock,1142,troll_rock_throw,275,troll_rock_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
1134,troll_thrower5,attack,Troll rock,1142,troll_rock_throw,276,troll_rock_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_troll/configs/quest_troll.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
277,ikov_firewarrior,cast,,711,human_caststrike,131,fireblast_impact,target,high,https://github.com/RustCityRS/rs-majula/blob/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/quests/quest_ikov/scripts/ikov_dungeon.rs2,"Quest script explicitly animates the NPC, casting GFX, travel projectile, and impact GFX."
13,wizard,cast,,711,human_caststrike,98,earthstrike_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat explicitly assigns Earth Strike casting/projectile/end GFX.
172,bearded_dark_wizard,cast,,711,human_caststrike,98,earthstrike_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat explicitly assigns Earth Strike casting/projectile/end GFX.
174,young_dark_wizard,cast,,711,human_caststrike,98,earthstrike_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat explicitly assigns Earth Strike casting/projectile/end GFX.
2025,ahrim,cast,,729,seq_729,160,windwave_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Wind Wave casting/projectile/end GFX.
2025,ahrim,cast,Water wave,729,seq_729,161,waterwave_casting,source,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Water Wave casting/projectile/end GFX.
2025,ahrim,cast,Water wave,729,seq_729,162,waterwave_travel,projectile,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Water Wave casting/projectile/end GFX.
2025,ahrim,cast,Water wave,729,seq_729,163,waterwave_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Water Wave casting/projectile/end GFX.
2025,ahrim,cast,Earth wave,729,seq_729,164,earthwave_casting,source,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Earth Wave casting/projectile/end GFX.
2025,ahrim,cast,Earth wave,729,seq_729,165,earthwave_travel,projectile,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Earth Wave casting/projectile/end GFX.
2025,ahrim,cast,Earth wave,729,seq_729,166,earthwave_impact,target,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch: Earth Wave casting/projectile/end GFX.
2025,ahrim,cast,Fire wave,729,seq_729,155,firewave_casting,source,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch explicitly gives Fire Wave casting/projectile; no end GFX is assigned in that branch.
2025,ahrim,cast,Fire wave,729,seq_729,156,firewave_travel,projectile,high,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,NpcCombat random spell branch explicitly gives Fire Wave casting/projectile; no end GFX is assigned in that branch.
2881,dagannoth_prime,attack,,2855,seq_2855,477,spotanim_477,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape assigns projectile 162 and end GFX 477 to Dagannoth Prime.
2892,spinolyp,attack,,2868,seq_2868,95,spotanim_95,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape assigns magic projectile 94 and end GFX 95 to Spinolyp 2892.
3200,chaos_elemental,attack,,3146,seq_3146,552,spotanim_552,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape range branch assigns source/projectile/end GFX 550/551/552.
3200,chaos_elemental,special_attack,,3146,seq_3146,555,spotanim_555,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape magic branch assigns source/projectile/end GFX 553/554/555.
2745,tztok_jad,cast,,2656,seq_2656,157,firewave_impact,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape Jad magic branch assigns projectile 448 and end GFX 157.
2743,ket_zek,attack,,2644,seq_2644,446,spotanim_446,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape assigns projectile 445 and end GFX 446 to Ket-Zek.
2744,ket_zek_2,attack,,2644,seq_2644,446,spotanim_446,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape assigns projectile 445 and end GFX 446 to Ket-Zek.
3068,skeletal_wyvern,special_attack,,2989,seq_2989,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,"2006Scape explicit Wyvern special uses sequence 2989, projectile 393, end GFX 430."
1159,kalphite_queen,special_attack,,1185,seq_1185,279,kalphite_queen_glow,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape first-form KQ magic branch assigns projectile 280 and end GFX 279.
1160,kalphite_queen_2,special_attack,,1177,seq_1177,278,kalphite_glow,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape second-form KQ ranged/magic branch assigns projectile 279 and end GFX 278.
50,king_dragon,special_attack,,80,dragon_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape fire-breath branch assigns red projectile 393 and end GFX 430.
1590,bronze_dragon,special_attack,,80,dragon_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape fire-breath branch assigns red projectile 393 and end GFX 430.
1591,iron_dragon,special_attack,,80,dragon_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape fire-breath branch assigns red projectile 393 and end GFX 430.
1592,steel_dragon,special_attack,,80,dragon_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape fire-breath branch assigns red projectile 393 and end GFX 430.
50,king_dragon,special_attack,Green breath,80,dragon_attack,394,spotanim_394,projectile,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
50,king_dragon,special_attack,Green breath,80,dragon_attack,429,spotanim_429,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
50,king_dragon,special_attack,White breath,80,dragon_attack,395,spotanim_395,projectile,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
50,king_dragon,special_attack,White breath,80,dragon_attack,431,spotanim_431,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
50,king_dragon,special_attack,Blue breath,80,dragon_attack,396,spotanim_396,projectile,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
50,king_dragon,special_attack,Blue breath,80,dragon_attack,428,spotanim_428,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape KBD random breath branch supplies this projectile/end-GFX pair.
53,red_dragon,special_attack,,91,dragon_head_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape normal dragon fire-breath branch assigns projectile 393 and end GFX 430.
54,black_dragon,special_attack,,91,dragon_head_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape normal dragon fire-breath branch assigns projectile 393 and end GFX 430.
55,blue_dragon,special_attack,,91,dragon_head_attack,430,spotanim_430,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,2006Scape normal dragon fire-breath branch assigns projectile 393 and end GFX 430.
941,dragon_941,cast,,82,dragon_firebreath_left_attack,429,spotanim_429,target,medium,https://github.com/2006-Scape/2006Scape/blob/master/2006Scape%20Server/src/main/java/com/rs2/game/content/combat/npcs/NpcCombat.java,Enriches the already-tested Eldoria green-breath binding with the server end GFX paired with projectile 394.
